术语,定义,例句
保险事件,保险合同所承保的事件。,保险事件造成的损失由保险人承担。
保险人,签发保险合同的一方。,保险人承担合同项下的风险。
无形资产,无实物形态的可辨认非货币性资产。,该专利确认为一项无形资产。
无形资产,无实物形态的可辨认非货币性资产，例如专利和许可证。,购入的专利确认为无形资产，并在十年内摊销。
无形资产——网站成本,关于网站开发成本何时可以资本化的指引。,无形资产——网站成本阐明了哪些支出符合资本化条件。
境外整体性经营,作为报告主体经营活动延伸的境外经营。,该境外分支机构被视为境外整体性经营。
利息,使用借入资金的成本。,利息费用采用实际利率法确认。
利息成本（职工福利计划）,因时间推移而导致的福利义务的增加。,利息成本反映折现影响的逐步解除。
租赁内含利率,使租赁付款额加上未担保余值的现值等于租赁资产公允价值的折现率。,承租人使用租赁内含利率计量租赁负债。
租赁内含利率,将租赁付款额折现为资产价值的利率。,租赁内含利率对租赁付款额进行折现。
利率风险,利率变动影响财务状况的风险。,浮动利率债务使该公司面临利率风险。
利率区间组合,结合利率上限与利率下限的套期工具。,利率区间组合限制了利率变动带来的风险敞口。
利率互换,双方交换利息支付流的衍生工具，通常为固定利率与浮动利率之间的互换。,该公司签订了一项利率互换，以对其浮动利率债务进行套期。
仅付利息剥离资产,从已转让资产中仅收取利息现金流的权利。,留存下来的仅付利息剥离资产按公允价值计量。
仅付利息剥离应收款,从金融资产中仅收取利息现金流的权利。,该主体在证券化交易中保留了一项仅付利息剥离应收款。
合营企业中的权益,主体在合营企业中拥有的所有权权益。,合营企业中的权益采用权益法核算。
中期财务报告,涵盖期间短于一个完整年度的报告。,中期财务报告涵盖六个月的期间。
中期财务报告（准则）,规定中期财务报告的最低内容以及中期期间的确认和计量原则的准则。,中期财务报告准则要求主体提供一套简明的财务报表。
中期财务报告与减值,中期报告中有关减值的考虑。,中期财务报告与减值适用与年度报告相同的原则。
中期财务报表,涵盖期间短于一个完整年度的财务报表。,该公司发布了半年度的中期财务报表。
中期,短于一个完整财务年度的财务报告期间。,该中期涵盖最初六个月。
中间母公司或最终母公司,本身是另一母公司的子公司、或处于集团最顶端的母公司主体。,中间母公司或最终母公司也必须编制合并财务报表。
内含报酬率,使净现值为零的折现率。,内含报酬率用于确定实际利率。
企业内部风险转移,同一主体内部各业务单位之间的风险转移。,企业内部风险转移在合并时予以抵销。
内部产生的,在主体内部创造而非外购取得的。,内部产生的品牌不确认为无形资产。
内部产生的商誉,内部创造的商誉，不予确认。,内部产生的商誉不作为资产确认。
国际会计准则,由国际会计准则理事会的前身机构发布的准则，对特定交易规定会计处理方法。,《国际会计准则第2号》规范存货的计量。
国际会计准则委员会,国际会计准则理事会的前身机构。,国际会计准则委员会发布了最初的国际会计准则。
国际会计准则委员会基金会,监督国际会计准则委员会和国际会计准则理事会的机构。,国际会计准则委员会基金会任命了新的受托人。
国际会计师联合会,代表会计职业界的全球性组织。,国际会计师联合会发布职业道德和审计方面的准则。
国际财务报告解释委员会,就如何将国际财务报告准则应用于具体问题发布解释的机构。,国际财务报告解释委员会就该项会计处理发布了指南。
国际财务报告准则,由国际会计准则理事会发布的、用于全球财务报告的准则。,每项国际财务报告准则都规定了具体要求。
集团内部,发生在同一集团内各主体之间的。,集团内部余额在合并报表中予以抵销。
集团内部支付安排,集团内各主体之间进行支付的安排。,集团内部支付安排在合并时予以抵销。
集团内部交易,同一集团内各主体之间的交易。,集团内部交易在合并时予以抵销。
内在价值,股票公允价值与期权行权价格之间的差额，即立即行权所能获得的金额。,股票期权的内在价值按股票价格超过行权价格的部分计量。
欧元的引入,采用欧元货币。,欧元的引入影响了货币折算。
存货,为出售而持有或处于生产过程中的资产。,存货按成本与可变现净值孰低计量。
反向浮动利率,与参考利率反向变动的利率。,随着利率下降，该票据支付反向浮动利率。
被投资方,另一主体持有其所有权权益的主体。,投资方对被投资方具有重大影响。
投资活动,购置和处置长期资产所产生的现金流量。,投资活动包括购置不动产和设备。
投资,为通过收益或增值来增加财富而持有的资产。,该公司对一家子公司进行了长期投资。
投资合同,基于投资提供回报的合同。,投资合同在初始时按公允价值计量。
投资企业,以进行投资为其业务的主体的企业。,投资企业按公允价值计量其投资。
投资主体,从投资者处取得资金并向其提供投资管理服务、且对其投资以公允价值通过损益计量的主体。,投资主体不合并其控制的被投资方，而是按公允价值对其进行计量。
投资级,表明违约风险较低的信用评级。,这些债券被评为投资级。
投资业绩,某期间内投资所实现的回报。,投资业绩每年向保单持有人报告。
投资性房地产,为赚取租金或资本增值而持有的不动产。,该办公楼作为投资性房地产持有。
保留的投资,母公司在丧失对原子公司的控制权后继续持有的权益。,丧失控制权时，保留的投资按公允价值重新计量。
投资证券,为赚取回报而非用于交易目的而持有的金融资产。,投资证券按其合同现金流量进行分类。
投资税收抵免,为鼓励资本投资而给予的税收优惠。,投资税收抵免降低了该主体的税费。
投资连结保险基金,其价值与投资挂钩的保险基金。,投资连结保险基金中持有的资产按公允价值计量。
联营企业中的投资,关于联营企业会计处理的准则。,对联营企业的投资采用权益法核算。
投资方,通过股份等方式持有另一主体权益、并有权从该投资中获得回报的一方。,投资方评估其是否对联营企业具有重大影响。
合营企业投资者,在合营企业中拥有权益的一方。,合营企业投资者采用权益法。
投资者拥有的主体,由投资者而非保单持有人拥有的主体。,投资者拥有的主体为股东报告利润。
强制清算,由法院或监管机构命令进行的公司清算。,该银行在倒闭后面临强制清算。
不可撤销的承诺,主体无法取消或撤回的具有约束力的义务。,购买原材料的不可撤销承诺已在附注中披露。
已发行股本,实际向股东发行的股本金额。,已发行股本与股份溢价单独列示。
已发行股份,已分配给股东并由股东缴款认购的股份。,已发行股份按其面值记录。
发行主体,向持有人发行权益工具的主体。,发行主体将优先股确认为权益。
项目,财务报表中的单个要素。,每个项目被分类为资产、负债、收入或费用。
逐项基础,将每个单项单独考虑而非汇总考虑的方法。,该主体对金融资产按逐项基础进行减值评估。
存货项目,存货中的单个单位或类别。,每个存货项目按成本与可变现净值孰低计量。
共同控制,通过合同约定的对某项安排的共享控制。,双方对该合营项目行使共同控制。
合营企业,各方共同控制并共享净资产的共同安排。,两家公司为该项目设立了一家合营企业。
联合工作组,由两个或多个机构为共同项目或准则而组建的合作小组。,设立联合工作组是为了使两套框架保持一致。
共同控制实体——合营者的非货币性出资,关于合营者向共同控制实体作出非货币性出资的指引。,合营者的非货币性出资需要谨慎确认利得。
共同控制实体,其战略决策需要合营者一致同意的实体。,共同控制实体的利润被平均分配。
司法管辖区,拥有自身规则和法院的法律地域。,税率根据相关司法管辖区适用。
关键管理人员,拥有计划和控制在权限的人员。,关键管理人员的薪酬应予披露。
较大的金融资产,在比较中价值较高的金融资产，与金融资产的分配或计量相关。,公允价值调整被分配至投资组合中较大的金融资产。
后进先出法,一种存货成本计价方法。,国际财务报告准则不允许采用后进先出法。
租赁,转让资产使用权的合同。,租赁期为五年，无续租选择权。
租赁期,承租人可使用资产的不可撤销期间。,租赁期因可选续租期间而得以延长。
售后回租,资产卖方再从买方处将该资产租回的交易。,售后回租安排形成了一项使用权资产。
租赁资产,承租人或出租人在融资租赁下确认的资产。,租赁资产按租赁期与使用寿命两者中较短者计提折旧。
租赁权益,承租人在租赁协议下对租赁资产享有的权益。,该租赁权益被分类为资产。
租赁业务,在一定期间内转让资产使用权的合同。,租赁业务被确认为使用权资产和租赁负债。
法律实体,在法律上被确认为实体的主体。,法律实体可能与报告主体相分离。
法定合并,两个或多个实体在法律上合并为单一实体的合并方式。,法定合并完成后，存续实体承接了被合并公司的全部资产和负债。
法定义务,因法律而产生的义务。,法定义务可能要求确认预计负债。
法定母公司,通过所有权控制另一实体的实体。,法定母公司控制两家子公司。
法定解除,债务或义务在法律上的解除。,担保的法定解除消除了该负债。
法定权利,在财务报表中确认或披露的可强制执行的权利。,该主体拥有抵销两项余额的法定权利。
法定子公司,在反向收购中被法律指定为子公司的实体。,法定子公司被视为会计上的收购方。
可依法强制执行的权利,可以在法院强制执行的权利。,抵销需要拥有可依法强制执行的抵销权。
法定要求,由法律施加的要求。,某项法律规定产生了一项现时义务。
贷款人,以贷款形式提供资金的一方。,贷款人评估借款人的信用风险。
承租人,为取得在一定期间内使用标的资产的权利而支付对价的一方。,承租人在租赁期开始日确认租赁负债和使用权资产。
承租人增量借款利率,承租人为借款而需支付的利率。,承租人增量借款利率用于对租赁付款额进行折现。
出租人,在租赁中提供资产的一方。,出租人确认了一项融资租赁应收款。
信用证,保证向卖方付款的银行单证。,出口商要求为该批货物提供信用证。
可用性水平,资产被视为可使用而必须维持的性能或能力标准。,维护预计负债使飞机保持在要求的可用性水平。
杠杆,利用债务来提高权益潜在回报。,高杠杆增加了主体的财务风险。
杠杆性签出期权,其收益随标的资产以超过比例的方式增加的签出期权。,杠杆性签出期权增加了主体的风险敞口。
因参与特定市场产生的负债——废弃电气电子设备,因参与废弃电气电子设备市场而产生的义务。,因参与废弃电气电子设备市场而产生负债。
承担的负债,在交易中承接的义务。,在企业合并中，承担的负债按公允价值计量。
负债,主体因过去事项而承担的现时义务，预期其清偿将导致资源流出。,应付账款被确认为负债，因为主体承担了付款的现时义务。
负债充足性测试,测试负债是否充足的方法。,负债充足性测试确保保险负债是充足的。
负债成分,复合金融工具中的债务部分。,负债成分按现值计量。
债务工具发行,为筹集资金而发行债务工具。,债务工具发行为扩张筹集了资金。
许可费,为取得使用知识产权或在许可下经营的权利而支付的费用。,许可费在许可期间内确认为收入。
许可协议,授予使用知识产权或技术权利的合同。,许可协议规定了特许权使用费的支付。
生存年金,其支付取决于年金受领人生存的年金。,保险人使用死亡率假设对生存年金进行定价。
后进先出法,后进先出的存货成本计价方法。,国际财务报告准则不允许采用后进先出法。
类似交易及类似情况下的其他事项,以一致方式处理的可比交易。,类似情况下的类似交易以一致的方式处理。
首次采用者对比较《国际财务报告准则第7号》披露的有限豁免,一项修订，为首次采用者提供不列报比较《国际财务报告准则第7号》披露信息的有限豁免。,首次采用者对比较《国际财务报告准则第7号》披露的有限豁免减轻了过渡负担。
单列项目,报表中列示的单个单行项目。,每个单列项目单独列示。
业务线,独特的商业活动分部或领域。,经营成果按业务线报告。
流动性资产,现金以及能够轻易转换为现金的资产。,公司持有足够的流动性资产以应付支付。
流动性,现金的可获得性以及主体履行短期义务的能力。,公司维持了足够的流动性，以在债务到期时履行其义务。
流动性列报,按资产和负债距离现金的远近顺序进行的列报。,该银行在资产负债表中采用流动性列报。
流动性风险,主体难以履行其财务义务的风险。,该主体通过到期分析监控流动性风险。
诉讼和解,为解决法律纠纷而商定的金额。,诉讼和解被确认为预计负债。
贷款,所提供的必须偿还的资金。,该贷款按摊余成本计量。
贷款资产,因向借款人出借资金而产生的金融资产。,贷款资产采用实际利率法按摊余成本计量。
贷款承诺,提供贷款的承诺。,贷款承诺费在承诺期间内确认。
贷款次级参与,转让贷款部分风险和回报的协议。,该银行与另一贷款人达成了一项贷款次级参与。
贷款及垫款,银行向其客户发放的款项。,对客户的贷款及垫款在年度内增长。
贷款和应收款项,具有固定或可确定付款额、且未在活跃市场报价的非衍生金融资产。,在旧准则下，应收账款被分类为贷款和应收款项。
企业发放的贷款和应收款项,通过提供货币或商品而形成的非衍生金融资产。,企业发放的贷款和应收款项按摊余成本计量。
应付借款,因借入资金而产生的必须偿还的负债。,应付借款被分类为非流动负债。
已违约的应付借款,违反其条款并可被随时要求偿还的贷款。,已违约的应付借款被分类为流动负债。
长期职工福利,在十二个月以后支付的福利。,长期职工福利包括长期服务休假。
长期投资,意图持有超过一年、预期不会在短期内转换为现金的投资。,长期投资在财务状况表中与流动资产分开列示。
透视,评估结构背后实质的方法。,透视方法评估底层资产。
透视法,以底层实质而非法律形式为基础进行处理的方法。,透视法用于金融集团。
损失事件,导致实际信用损失的事件。,在已违约贷款上识别出一项损失事件。
丧失控制权,母公司不再对原子公司拥有控制的事件。,丧失控制权触发了子公司资产和负债的终止确认。
每股亏损,归属于每股普通股的净亏损。,该企业报告了本期间的每股亏损。
亏损识别测试,用于确定保险合同是否为亏损性合同的测试。,对每个保险组合都进行亏损识别测试。
亏损分担安排,各方之间分担亏损的协议。,根据亏损分担安排，亏损按比例承担。
损失,经济利益的减少。,损失计入当期损益。
下层母公司,在集团结构中，自身是更高层级另一母公司的子公司的母公司实体。,下层母公司为更广泛结构中其自身的集团编制合并财务报表。
多数股权,拥有超过一半表决权的所有权。,多数股权赋予母公司控制权。
按合同收益率基础管理,为实现合同设定的回报而管理的资产。,该投资组合按合同收益率基础进行管理。
管理层,负责指导和控制一个实体的人员。,管理层负责编制财务报表。
管理层法,以管理层内部使用的信息为基础进行分部报告的方法。,按照管理层法，分部按首席经营决策者所审查的方式进行报告。
管理层评论,随财务报表一并提供的对财务业绩的叙述性说明。,管理层评论解释了关键业绩驱动因素。
管理层意图,管理层就持有或处置某项资产所作的既定计划。,该分类取决于管理层意图。
毛利,收入与销售成本之间的差额。,成本降低之后，毛利率有所改善。
市场条件,与市场价格相关的条件。,市场条件会影响股票期权的公允价值。
市场价格,资产或负债在活跃市场中可以被买入或卖出的价格。,上市股票的市场价格被用于确定其公允价值。
市场利率,市场上通行的利率。,该贷款按市场利率发放。
市场风险,因市场价格变动而发生损失的风险。,市场风险源于商品价格波动。
市场价值,资产在市场上可以进行交易的价格。,土地的市场价值急剧上升。
可流通（可随时出售）,形容一项资产可以在市场上随时被买入或卖出。,可流通证券在报告日按公允价值计量。
与营销相关的无形资产,用于营销的无形资产，例如商标和品牌名称。,与营销相关的无形资产包括商标和互联网域名。
集成电路布图设计,保护半导体芯片设计的知识产权。,集成电路布图设计被确认为无形资产。
总互抵协议,允许在违约时对多份合同进行抵销的协议。,总互抵协议允许在违约时进行抵销。
成本与收入配比,将费用与相关收入一并确认。,成本与收入配比要求在同一期间确认相关费用。
重大,如果信息的省略、错报或模糊处理可能影响使用者所作的决策，则该信息是重大的。,该披露的省略对财务报表使用者而言并不重大。
重大调整,重要到足以产生影响的调整。,以前期间的数据已作出重大调整。
重大错误,重要到足以影响使用者决策的错误。,以前报表中的重大错误已作追溯更正。
重大遗漏,未能包含重要到足以影响决策的信息。,附注中的重大遗漏导致了重述。
重要性,信息可能影响财务报表使用者经济决策的门槛。,就财务报表整体而言，该省略并未被视为重大。
矩阵法（矩阵列报）,以表格形式沿两个维度列报信息。,矩阵列报按类型和类别披露风险。
矩阵式组织结构,员工向多名管理者汇报的组织结构。,该集团采用矩阵式组织结构运作。
到期日,金融工具到期应予结算的日期。,该债券的到期日为发行之日起十年。
到期值,到期时应支付的金额。,该债券按其到期值赎回。
以公允价值计量且其变动计入其他综合收益,一种金融资产计量类别，其公允价值变动计入其他综合收益而非计入损益。,该债务工具以公允价值计量且其变动计入其他综合收益，因为它处于既收取又出售的业务模式之中。
计量,确定某项目的货币金额。,预计负债的计量采用了最佳估计。
计量基础,用于确定财务报表金额的方法。,该准则列示了若干计量基础。
计量日期,对资产或负债进行计量的日期。,计划资产的计量日期为年末。
变动的计量,对某项目必须确认或披露的变动金额的确定。,负债公允价值变动的计量已计入损益。
计量或确认不一致,相关资产与负债之间的会计错配。,持有该衍生工具是为了消除计量或确认的不一致。
中期所得税费用的计量,采用预计年度实际税率计算中期期间的所得税。,中期所得税费用的计量需要预计年度税率。
会员费,为加入或留在某一组织而支付的费用。,会员费在会员期内确认为收入。
会员股份,合作社成员持有的权益。,会员股份可能被归类为权益或负债。
合作实体中的会员股份及类似工具,一项解释公告，涉及合作实体中的会员股份应归类为负债还是权益。,关于合作实体中会员股份的解释公告确定了此类股份何时被归类为权益。
商品,持有以供转售的货物。,商品在存货中列报。
合并,两个实体合并为一个实体。,这次合并造就了该地区最大的银行。
会计处理方法,用于确认和计量交易的方法。,该公司改变了租赁的会计处理方法。
中间市场价,金融工具的买入价与卖出价之间的中间价格。,该等股份采用报告日的中间市场价进行计量。
矿产及矿产品,开采的自然资源及其衍生产品。,矿产及矿产品存货按可变现净值计量。
最低筹资提存额,法律或法规规定的、为计划提供资金所需的提存额。,该企业向养老金计划支付了最低筹资提存额。
最低筹资要求,福利计划依法须达到的最低提存额。,最低筹资要求增加了计划负债。
最低租赁付款额,在租赁期内需要支付的款项。,在租赁会计中，最低租赁付款额需要折现。
少数股东权益,子公司权益中不直接或间接归属于母公司的部分。,少数股东权益在合并财务状况表中列示于权益之内。
错配,资产与负债之间的不匹配。,到期日之间的错配产生了风险。
错报,报告金额与应有金额之间的差异。,审计师发现收入中存在一项错报。
风险缓释工具,降低风险敞口的工具或行动。,该衍生工具起到了缓解货币风险的作用。
混合计量属性法,对不同项目采用不同计量基础的会计方法。,该准则采用混合计量属性法，对某些资产按成本计量，对另一些资产按公允价值计量。
货币性资产,代表货币或对固定金额货币的索取权的资产。,现金和应收账款属于货币性资产。
货币性项目,持有的货币单位以及将以固定金额收取或支付的资产和负债。,货币性项目按收盘汇率折算。
货币性项目（货币性资产；货币性金融资产和金融负债；货币性金融工具）,将以固定货币金额收取或支付的资产和负债。,货币性项目按收盘汇率重新折算。
合规监控,监督对规则或契约条款的遵守情况。,该企业监控对贷款契约条款的遵守情况。
死亡率风险,实际死亡率与预期死亡率不同，从而影响保险或福利义务计量的风险。,保险人的死亡率风险采用最新的精算表进行评估。
多雇主（福利）计划,由多个雇主共同参与的福利计划。,多雇主计划汇集了多个雇主的资产。
多雇主计划（就职工福利计划而言）,汇集多个不相关雇主提存金的计划。,多雇主计划将风险分散到各参与雇主之间。
多项安排,在同一时间或相近时间订立的若干单独合同。,这些多项安排被作为单项交易进行评估。
多个嵌入衍生工具,单一主合同中包含的两个或以上嵌入衍生工具。,当合同包含多个嵌入衍生工具时，可以将其作为单一复合衍生工具处理。
互助合作实体,由其成员为共同利益而拥有和控制的实体。,该互助合作实体在其成员之间分配盈余。
互助实体,其所有者收取股利或回报而非持有权益股份的实体。,互助实体向其成员提供会员权利。
共同基金,由其投资者拥有的集合投资工具。,共同基金单位按公允价值计量。
相互保险公司,由其保单持有人拥有的保险人。,相互保险公司归其保单持有人所有。
国家要求,除国际准则之外，企业必须遵守的当地法律或监管要求。,当国家要求与国际财务报告准则存在差异时，企业应披露差异的性质。
费用性质法,按费用的性质列报费用。,费用性质法按类型对费用进行分组。
负商誉,收购成本低于所取得可辨认净资产公允价值时产生的利得。,该廉价购买产生了负商誉。
流通票据,一种可转让的金融工具，可以背书转让给另一方。,该流通票据已背书转让给银行。
净资产,总资产超过总负债的金额，等同于权益。,盈利年度过后，净资产有所增加。
可用于支付福利的净资产,用以支付职工福利的计划资产减去负债后的净额。,可用于支付福利的净资产在报告期间有所增长。
净额基础,按净额列报资产和负债。,该负债按净额基础进行了结算。
净额现金结算期权,以等于净收益的现金金额进行结算的期权。,净额现金结算期权被分类为负债。
处置净所得,处置所得减去处置成本。,处置净所得会减少处置利得或损失。
净汇兑差额,以不同汇率折算外币金额所产生的利得和损失的净额。,净汇兑差额在其他综合收益中确认，并累计计入权益的单独组成部分。
可辨认净资产,可辨认资产减去所取得负债后的金额。,商誉是对价超过可辨认净资产的部分。
净收益,扣除全部费用和税金后剩余的利润。,本年度净收益增长了百分之十二。
净投资套期,对境外净投资的汇率风险敞口进行的套期。,集团对其海外子公司采用了净投资套期。
在国外主体中的净投资,报告主体在国外经营实体净资产中所享有的权益金额。,公司间贷款构成了在国外主体中净投资的一部分。
境外经营净投资,报告主体在境外经营净资产中所占的净份额。,境外经营净投资产生的汇兑差额计入权益。
租赁净投资,租赁总投资额按内含利率折现后的金额。,租赁净投资等于租赁总投资额减去未实现融资收益。
净亏损,某一期间总费用超过总收入的差额。,该主体报告了本年度的净亏损。
净货币性头寸,货币性资产与货币性负债之间的差额。,净货币性头寸在通货膨胀中会产生利得。
净头寸,特定风险敞口或类别的总资产与总负债之间的差额。,该主体的外币净头寸已在风险管理附注中披露。
净利润,扣除全部费用和税金后的利润。,本年度净利润增长了百分之十。
当期净利润或净亏损,报告期间的最终经营成果。,净利润或净亏损列示于利润表中。
当期净利润或净亏损、基本错误和会计政策变更,关于报告期间利润、基本错误和会计政策变更的指引。,该准则涉及净利润和会计政策变更。
可变现净值,估计售价减去估计完工成本及销售所需费用后的金额。,存货由于已经陈旧过时，已减记至可变现净值。
净销售价格,资产的公允价值减去出售费用后的金额。,净销售价格低于该资产的账面金额。
净额结算,仅支付或收取净利得或净损失来结算合同。,该等衍生工具允许在不进行实物交割的情况下进行净额结算。
中立性,财务信息不带偏见。,中立性有助于如实反映结果。
新取得的资产,最近取得的资产。,新取得的资产在取得时按公允价值计量。
次高级母公司,在集团层级中紧位于较低层级母公司之上的母主体。,次高级母公司须编制涵盖整个集团的合并财务报表。
资产负债表日后非调整事项,报告日之后不需要调整的事项。,年末之后市场价值的下跌属于非调整事项。
报告期间结束后的非调整事项,期间结束后不改变已报告数字的事项。,年末之后发生的火灾属于报告期间结束后的非调整事项。
非银行金融服务企业,不属于持牌银行的金融机构。,该出租人是一家非银行金融服务企业。
不可撤销租赁,承租人不承担罚款即无法终止的租赁。,不可撤销租赁下的最低租赁付款额已折现为现值。
非现金资产,现金及现金等价物以外的资产。,非现金资产已作为出资投入该合营企业。
非现金抵押品,作为债务担保而质押的现金以外的资产。,非现金抵押品必须按公允价值计量。
非现金项目,不涉及现金收支的收入或费用。,折旧是非现金项目，在现金流量表中予以加回。
非现金交易,不涉及现金收支的交易。,非现金交易不包括在现金流量表中。
非控制性权益,子公司中不直接或间接归属于母公司的权益。,非控制性权益在合并财务报表中作为权益的组成部分单独列示。
非控制性权益（少数股东权益）,子公司中不由母公司拥有的权益。,非控制性权益在权益中列示。
会计期末不一致,集团内各主体的报告期间结束日不同。,会计期末不一致时，需要对重要交易进行调整。
非流动资产,预计在十二个月以上实现的资产。,非流动资产包括不动产、厂场和设备。
持有待分配给所有者的非流动资产（或处置组）,预计以所有者身份分配给所有者而非出售的资产。,该子公司的资产被分类为持有待分配给所有者的非流动资产。
持有待售的非流动资产和终止经营,关于持有待售资产和终止经营的分类与列报。,持有待售的非流动资产按账面金额与公允价值减去出售费用后的净额两者中的较低者计量。
非流动负债,预计在十二个月以上清偿的义务。,非流动负债与流动负债分开列示。
不计提折旧的资产,不需计提折旧的资产，例如土地。,土地是不计提折旧的资产。
非衍生工具,不属于衍生工具的金融工具。,非衍生工具合同被单独分类。
非衍生工具合同,其价值不像衍生工具那样取决于某一基础变量的合同。,该普通股购买合同是一项被分类为权益工具的非衍生工具合同。
非自由裁量的,非经自由裁量决定，属强制性的。,该项征费是一笔非自由裁量的强制性付款。
非自由裁量的职工利润分享计划,无论管理层如何决定都必须按规定缴款的计划。,该非自由裁量计划要求公司必须支付奖金。
非金融资产,存货和设备等资产，而非金融工具。,存货是非金融资产。
非线性,敏感性分析中某一变量的变动不会引起结果成比例变动的效应。,敏感性分析披露了变量之间关系中的非线性效应。
非流通有价证券,不在活跃市场上交易的有价证券。,非流通有价证券采用估值技术进行估值。
非货币性资产,不代表固定或可确定金额货币的资产。,不动产、厂场和设备属于非货币性资产。
非货币性政府补助,以资产而非现金形式收到的补助。,非货币性政府补助按公允价值计量。
权益的非所有者变动,除与所有者之间的交易以外的其他交易所引起的权益变动。,综合收益反映权益的非所有者变动。
不可回售普通股,不赋予持有者要求发行人以现金回购权利的普通股。,不可回售普通股被分类为权益，因为持有者不能要求赎回。
非互惠资产分配,未收取对价而进行的分配。,非互惠资产分配会减少权益。
不可赎回,持有者不能要求偿付或赎回。,该优先股是不可赎回的。
不可退还的购置税费,无法从税务机关收回的购买环节税费。,不可退还的购置税费构成资产成本的一部分。
生产设施的正常产能,生产设施在若干期间内平均预期达到的生产水平。,固定制造费用按生产设施的正常产能进行分配。
非营利组织,其目标不是为所有者创造利润的实体。,非营利组织报告其服务业绩。
应收票据／应付票据,承诺在未来某一日期支付一定金额的书面凭证。,该主体签发了一张应付给银行的票据。
名义金额,衍生工具合同项下基础金额的面值。,该互换交易的名义金额为一千万。
客观性（目标）,不带偏见；亦指目标或目的。,信息应当客观且不带偏见。
义务事项,产生现时法定或推定义务、因而必须确认预计负债的过去事项。,环境损害构成了一项需要确认预计负债的义务事项。
义务,采取行动或付款的责任。,确认预计负债需要存在现时义务。
移除和复原义务,拆除资产和恢复场地的义务。,该公司确认了移除和复原义务。
可观察的（基准）利率,可直接在市场上观察到的利率。,现金流量采用可观察的利率进行折现。
可观察的市场,市场参与者能够随时获得价格信息的市场。,公允价值是根据可观察市场中的价格确定的。
已观察到的（基准）利率,针对类似工具观察到的市场利率。,公允价值是采用已观察到的基准利率估计的。
已观察到的市场价格,直接取自活跃市场的报价。,公允价值以已观察到的市场价格为基础。
陈旧过时,由于技术或市场变化而丧失效用。,陈旧过时降低了资产的可收回金额。
取得或丧失控制权,取得或丧失对一个实体的权力。,丧失控制权会导致该实体不再纳入合并范围。
卖出价（要价）,一方提出买入或卖出金融工具或资产的价格。,在主要市场中计量负债的公允价值时使用卖出价（要价）。
抵销,将资产与负债以净额列报。,在满足条件时，金融资产和金融负债予以抵销。
净额抵销,在报表中将资产和负债以净额列报。,仅在该准则要求或允许时方可进行抵销。
一步法,以单一步骤确认利得或损失的方法。,一步法简化了会计处理。
单向重分类,金融资产分类的变更，仅允许向一个方向进行。,该准则允许将该金融工具从交易类别中单向重分类转出。
亏损合同,无可避免的成本超过预期经济利益的合同。,为亏损合同确认一项预计负债。
繁重的最低筹资要求,因构成负担而产生负债的筹资义务。,繁重的最低筹资要求导致了一项额外负债。
持续使用权,持续使用某项资产或设施的权利。,根据该安排，提供了对基础设施的持续使用权。
期初余额,某一期间期初的余额。,期初余额与上一期间的期末余额相符。
国际财务报告准则期初资产负债表,在过渡至国际财务报告准则之日编制的财务状况表，是首次采用国际财务报告准则的起点。,国际财务报告准则期初资产负债表是按照国际财务报告准则确认和计量所有资产和负债后编制的。
国际财务报告准则期初财务状况表,过渡日的第一份国际财务报告准则资产负债表。,国际财务报告准则期初财务状况表于过渡日编制。
经营活动,主体产生收入的主要活动。,经营活动产生的现金流量保持为正。
营业周期,从取得材料到收到客户现金之间所需的时间。,该零售商的营业周期较短。
经营决策,与主体日常经营中资源的使用相关的决策。,有关该工厂的经营决策由该分部的管理层作出。
经营租赁,不转移所有权几乎全部风险和报酬的租赁。,经营租赁的租赁付款额按直线法确认为费用。
经营租赁——激励措施,经营租赁下已收取或应收的租赁激励。,该主体在租赁期内确认经营租赁激励。
经营分部,基于内部报告单独列报的组成部分。,经营分部根据首席经营决策者的报告加以确定。
运营方,运营某项设施或服务的一方。,运营方根据特许经营协议确认收入。
期权,赋予持有人以规定价格买入或卖出某项资产的权利但非义务的合同。,看涨期权的持有人可按约定的行权价购买股份。
期权合同,赋予买入或卖出权利的合同。,该期权合同赋予持有人购买股份的权利。
期权定价模型,用于估计期权公允价值的模型。,该主体使用期权定价模型对股份期权进行估值。
期权、认股权证及其等同工具,赋予持有人购买股份权利的合同。,该主体向投资者发行了期权、认股权证及其等同工具。
日常活动,主体的常规经营活动，不包括异常或非经常性项目。,该利得产生于日常活动，并计入经营利润。
正常经营过程,按公平交易条款进行的正常日常经营活动。,该项销售是在正常经营过程中进行的。
普通股权益持有人,主体普通股的所有者。,利润以股利的形式分配给普通股权益持有人。
普通股,享有表决权的基本权益工具。,清算时，普通股的受偿顺序排在优先股之后。
原资产,变更或交换之前的资产。,原资产的账面金额影响该项交换。
原始成本,最初为购置资产而支付的金额，未作任何调整。,该建筑物的原始成本以购买价款加交易费用为基础。
“发起并持有”业务模式,持有资产以收取现金流量的业务模式。,在“发起并持有”业务模式下，资产按摊销成本计量。
自行发放贷款法,出于披露目的，将主体自行发放的贷款单独处理的方法。,在自行发放贷款法下，仅包括该银行自行发放的贷款。
自行发放的贷款和应收款项,由主体自身形成的贷款和应收款项。,自行发放的贷款和应收款项按摊销成本计量。
