Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
I,Investment,Yatırım,An asset held to increase wealth through income or appreciation.,The company made a long-term investment in a subsidiary.,Şirket bir iştirake uzun vadeli yatırım yaptı.
I,Investment contract,Yatırım sözleşmesi,A contract providing a return based on an investment.,Investment contracts are measured at fair value at inception.,"Yatırım sözleşmeleri, başlangıçta gerçeğe uygun değeri üzerinden ölçülür."
I,Investment enterprise,Yatırım kuruluşu,An entity whose business is making investments.,An investment enterprise measures investments at fair value.,"Yatırım kuruluşu, yatırımlarını gerçeğe uygun değeriyle ölçer."
I,Investment entity,Aracı kurum,An entity that obtains funds from investors to provide them with investment management services and measures its investments at fair value through profit or loss.,An investment entity does not consolidate its controlled investees but measures them at fair value.,"Bir aracı kurum, kontrol ettiği yatırımlarını konsolide etmez, bunları gerçeğe uygun değer üzerinden ölçer."
I,Investment grade,Yatırım düzeyi / derecesi,A credit rating indicating low default risk.,The bonds are rated investment grade.,"Tahviller, yatırım düzeyinde derecelendirilmiştir."
I,Investment performance,"Yatırım başarısı, performansı",Return achieved on an investment over a period.,Investment performance is reported to policyholders annually.,"Yatırım performansı, poliçe sahiplerine yıllık olarak raporlanır."
I,Investment property,Yatırım amaçlı gayrimenkul,Property held to earn rentals or for capital appreciation.,The office block is held as investment property.,Ofis binası yatırım amaçlı gayrimenkul olarak elde tutulmaktadır.
I,Investment retained,Sahip olunan yatırım,The interest in a former subsidiary that a parent continues to hold after losing control.,The investment retained was remeasured at fair value when control was lost.,"Kontrol kaybedildiğinde sahip olunan yatırım, gerçeğe uygun değerinden yeniden ölçülmüştür."
I,Investment securities,Yatırım amaçlı menkul kıymetler,Financial assets held to earn returns rather than for trading.,Investment securities are classified by their contractual cash flows.,"Yatırım amaçlı menkul kıymetler, sözleşmeye bağlı nakit akışlarına göre sınıflandırılır."
I,Investment tax credits,Yatırım indirimi,Tax incentives granted to encourage capital investment.,Investment tax credits reduced the entity's tax expense.,Yatırım indirimi işletmenin vergi giderini azalttı.
I,Investment-linked insurance funds,Yatırım amaçlı sigorta fonları,Insurance funds whose value is linked to investments.,Assets held in investment-linked insurance funds are measured at fair value.,Yatırım amaçlı sigorta fonlarında tutulan varlıklar gerçeğe uygun değeriyle ölçülür.
I,Investments in Associates,İştiraklerdeki Yatırımlar,The standard on accounting for associates.,Investments in associates are accounted for using the equity method.,"İştiraklerdeki yatırımlar, özkaynak yöntemiyle muhasebeleştirilir."
I,Investor,Yatırımcı,"A party that holds an interest in another entity, such as through shares, and is entitled to returns from that investment.",The investor assessed whether it had significant influence over the associate.,"Yatırımcı, iştirak üzerinde önemli etkisinin bulunup bulunmadığını değerlendirdi."
I,Investor in a joint venture,İş ortaklığı yatırımcısı,A party with an interest in a joint venture.,The investor in a joint venture uses the equity method.,"İş ortaklığı yatırımcısı, özkaynak yöntemini kullanır."
I,Investor-owned entity,Yatırımcı tarafından sahip olunan işletme,Entity owned by investors rather than policyholders.,Investor-owned entities report profits for shareholders.,Yatırımcı tarafından sahip olunan işletmeler ortakları için kâr açıklar.
I,Involuntary liquidation,Zorunlu tasfiye,Winding up of a company ordered by a court or regulator.,The bank faced involuntary liquidation after the collapse.,"Banka, çöküşün ardından zorunlu tasfiye ile karşılaştı."
I,Irrevocable commitments,Vazgeçilemeyen taahhütler,Binding obligations that cannot be cancelled or withdrawn by the entity.,Irrevocable commitments to purchase raw materials were disclosed in the notes.,Hammadde satın almaya ilişkin vazgeçilemeyen taahhütler dipnotlarda açıklanmıştır.
I,Issued capital,Çıkarılmış sermaye,The amount of share capital actually issued to shareholders.,Issued capital is presented separately from share premium.,"Çıkarılmış sermaye, hisse senedi ihraç primi ararı olarak ayrı sunulur."
I,Issued shares,İhraç edilen hisseler,Shares that have been allocated and paid for by shareholders.,Issued shares are recorded at their nominal value.,İhraç edilen hisseler nominal değerleriyle kaydedilir.
I,Issuing entity,Kendi özkaynaklarını ihraç eden işletme,The entity that issues equity instruments to holders.,The issuing entity recognised the preference shares as equity.,"Kendi özkaynağını ihraç eden işletme, imtiyazlı hisseleri özkaynak olarak muhasebeleştirdi."
I,Item,"Kalem, madde",A single element of the financial statements.,"Each item is classified as asset, liability, income or expense.","Her kalem; varlık, borç, gelir veya gider olarak sınıflandırılır."
I,Item by item basis,Kalem bazında,An approach in which each individual item is considered separately rather than in aggregate.,The entity assessed its financial assets for impairment on an item by item basis.,"İşletme, finansal varlıklarını değer düşüklüğü açısından kalem bazında değerlendirdi."
I,Item of inventory,Stok kalemi,A single unit or category of inventory.,Each item of inventory is measured at the lower of cost and net realisable value.,"Her stok kalemi, maliyet ile net gerçekleşebilir değerin düşük olanıyla ölçülür."
J-L,Joint control,Müşterek / ortak kontrol,Contractually shared control of an arrangement.,The two parties exercise joint control over the venture.,"İki taraf, ortak girişim üzerinde müşterek kontrol uygular."
J-L,Joint venture,İş ortaklığı,A joint arrangement where parties share control and net assets.,The two firms formed a joint venture for the project.,İki firma proje için bir iş ortaklığı kurdu.
J-L,Joint working group,Ortak çalışma grubu,A group formed by two or more bodies to work together on a common project or standard.,The joint working group was set up to align the two frameworks.,İki çerçeveyi uyumlu hale getirmek için ortak çalışma grubu oluşturulmuştur.
J-L,Jointly Controlled Entities – Non-Monetary Contributions by Venturers,Müştereken Kontrol Edilen İşletmeler – Ortak Girişimcilerin Parasal Olmayan Katılım Payları,Guidance on non-monetary contributions made by venturers to jointly controlled entities.,Non-monetary contributions by venturers require careful gain recognition.,"Ortak girişimcilerin parasal olmayan katılım payları, dikkatli bir kazanç muhasebeleştirmesi gerektirir."
J-L,Jointly controlled entity,Müştereken kontrol edilen işletme,An entity whose strategic decisions require unanimous consent of the venturers.,Profits of the jointly controlled entity are shared equally.,Müştereken kontrol edilen işletmenin kârı eşit paylaşılır.
J-L,Jurisdiction,İç hukuk alanı,A legal territory with its own rules and courts.,Tax rates are applied based on the relevant jurisdiction.,"Vergi oranları, ilgili hukuk alanına göre uygulanır."
J-L,Key management personnel,Kilit yönetici personel,Those with authority for planning and control.,Key management personnel compensation is disclosed.,Kilit yönetici personelin ücretleri açıklanır.
J-L,Larger financial asset,Daha büyük olan finansal varlık,"The financial asset of greater value in a comparison, relevant when allocating or measuring assets.",The fair value adjustment was allocated to the larger financial asset in the portfolio.,"Gerçeğe uygun değer düzeltmesi, portföydeki daha büyük olan finansal varlığa tahsis edildi."
J-L,"Last-in, first-out",Son giren ilk çıkar (LIFO),An inventory costing method.,"Last-in, first-out is not permitted under IFRS.",Son giren ilk çıkar yöntemine IFRS kapsamında izin verilmez.
J-L,Lease,Kiralama,Contract conveying the right to use an asset.,The lease term is five years without renewal option.,"Kiralama süresi, yenileme opsiyonu olmaksızın beş yıldır."
J-L,Lease term,Kiralama dönemi,The non-cancellable period during which a lessee may use an asset.,The lease term was extended by an optional renewal period.,Kiralama dönemi isteğe bağlı yenileme süresiyle uzatıldı.
J-L,Leaseback,Satıp geri kiralama,A transaction in which the seller of an asset leases it back from the buyer.,The sale and leaseback arrangement resulted in a right-of-use asset.,"Satıp geri kiralama düzenlemesi, bir kullanım hakkı varlığıyla sonuçlanmıştır."
J-L,Leased assets,Finansal kiralama konusu varlıklar,Assets recognized by a lessee or lessor under a finance lease.,Leased assets are depreciated over the shorter of lease term or useful life.,"Finansal kiralama konusu varlıklar, kiralama süresi veya faydalı ömürden kısa olanı üzerinden amortismana tabi tutulur."
J-L,Leasehold interest,Kira hissesi/payı,The lessee's interest in a leased asset under a lease agreement.,The leasehold interest was classified as an asset.,Kira hissesi varlık olarak sınıflandırıldı.
J-L,Leases,Kiralama işlemleri,Contracts transferring the right to use an asset for a period.,Leases are recognised as a right-of-use asset and a lease liability.,"Kiralama işlemleri, kullanım hakkı varlığı ve kiralama borcu olarak muhasebeleştirilir."
J-L,Legal entity,Tüzel kişilik,An entity recognised as such by law.,A legal entity may be separate from the reporting entity.,"Tüzel kişilik, raporlayan işletmeden ayrı olabilir."
J-L,Legal merger,Yasal şirket birleşmesi,A combination in which two or more entities are legally merged into a single entity.,"Following the legal merger, the surviving entity assumed all the assets and liabilities of the merged company.","Yasal şirket birleşmesinin ardından, varlığını sürdüren işletme birleşen şirketin tüm varlık ve borçlarını üstlendi."
J-L,Legal obligation,Yasal yükümlülük,An obligation arising from law.,A legal obligation may require recognising a provision.,"Yasal bir yükümlülük, karşılık ayrılmasını gerektirebilir."
J-L,Legal parent,Yasal ana ortaklık,Entity that controls another through ownership.,The legal parent controls two subsidiaries.,Yasal ana ortaklık iki bağlı ortaklığı kontrol eder.
J-L,Legal release,Yasal olarak sona erme,Legal discharge of a debt or obligation.,The legal release of the guarantee removed the liability.,Güvencenin yasal olarak sona ermesi borcu ortadan kaldırdı.
J-L,Legal rights,Yasal haklar,Enforceable entitlements recognised or disclosed in the financial statements.,The entity had legal rights to offset the two balances.,"İşletme, iki bakiyeyi mahsup etme yönünde yasal haklara sahipti."
J-L,Legal subsidiary,Yasal bağlı ortaklık,The entity legally designated as subsidiary in a reverse acquisition.,The legal subsidiary is treated as the accounting acquirer.,"Yasal bağlı ortaklık, muhasebe açısından edinen taraf olarak ele alınır."
J-L,Legally enforceable right,Yasal hak,A right that can be enforced in a court of law.,Offsetting requires a legally enforceable right of set-off.,"Mahsuplaşma, yasal olarak icra edilebilir bir mahsup hakkı gerektirir."
J-L,Legislative requirement,"Yasal hüküm, gereklilik",A requirement imposed by law.,A legislative requirement created a present obligation.,"Bir yasal hüküm, mevcut bir yükümlülük doğurdu."
J-L,Lender,Borç veren,A party that provides funds as a loan.,The lender assesses the borrower's credit risk.,"Borç veren, borçlunun kredi riskini değerlendirir."
J-L,Lessee,Kiracı (finansal kiralamada kiracı),The party that obtains the right to use an underlying asset for a period of time in exchange for consideration.,The lessee recognises a lease liability and a right-of-use asset at the commencement date.,"Kiracı, başlangıç tarihinde bir kiralama yükümlülüğü ve kullanım hakkı varlığı muhasebeleştirir."
J-L,Lessee’s incremental borrowing rate of interest,Kiracının ek borçlanma faiz oranı,The rate a lessee would pay to borrow.,The lessee's incremental borrowing rate discounts lease payments.,"Kiracının ek borçlanma faiz oranı, kiralama ödemelerini iskonto eder."
J-L,Lessor,Kiraya veren (finansal kiralamada kiraya veren),Party that provides an asset under a lease.,The lessor recognised a finance lease receivable.,"Kiraya veren, finansal kiralama alacağı muhasebeleştirdi."
J-L,Letters of credit,Akreditifler,Bank documents guaranteeing payment to a seller.,The exporter required letters of credit for the shipment.,İhracatçı sevkiyat için akreditif talep etti.
J-L,Level of serviceability,Hizmet verebilir düzey,The standard of performance or capacity an asset must maintain to be considered usable.,The maintenance provision keeps the aircraft at the required level of serviceability.,"Bakım karşılığı, uçağı gerekli hizmet verebilir düzeyde tutar."
J-L,Leverage,Kaldıraç,The use of debt to increase the potential return on equity.,High leverage increases the entity's financial risk.,"Yüksek kaldıraç, işletmenin finansal riskini artırır."
J-L,Leveraged written option,Kaldıraçlı satım opsiyonu,A written option whose payoff increases more than proportionally to the underlying.,The leveraged written option increased the entity's exposure.,Kaldıraçlı satım opsiyonu işletmenin riskini artırdı.
J-L,Liabilities Arising from Participating in a Specific Market – Waste Electrical and Electronic Equipment,Özel Bir Piyasaya Katılımdan Doğan Yükümlülükler – Atık Elektrikli ve Elektronik Aletler,Obligations from participating in a market for WEEE.,Liabilities arise from participating in the WEEE market.,Atık elektrikli ve elektronik aletler piyasasına katılımdan yükümlülükler doğar.
J-L,Liabilities assumed,Üstlenilen borçlar,Obligations taken over in a transaction.,Liabilities assumed are measured at fair value in a business combination.,"Üstlenilen borçlar, işletme birleşmesinde gerçeğe uygun değeriyle ölçülür."
J-L,Liability,"Borç, yabancı kaynak","A present obligation of the entity arising from past events, the settlement of which is expected to result in an outflow of resources.",The trade payable is recognised as a liability because the entity has a present obligation to pay.,"Ticari borç, işletmenin ödeme yönünde mevcut bir yükümlülüğü olduğu için borç olarak muhasebeleştirilir."
J-L,Liability adequacy test,Borç yeterlilik testi,A test of whether liabilities are adequate.,The liability adequacy test ensures insurance liabilities are sufficient.,"Borç yeterlilik testi, sigorta yükümlülüklerinin yeterli olmasını sağlar."
J-L,Liability component,"Borç kalemi, yabancı kaynak kalemi",Debt portion of a compound financial instrument.,The liability component was measured at present value.,"Borç kalemi, bugünkü değerle ölçüldü."
J-L,Liability issue,Borçlanma aracı ihracı,The issuance of debt instruments to raise funds.,The liability issue raised funds for expansion.,Borçlanma aracı ihracı büyüme için fon sağladı.
J-L,Licence fee,Lisans ücreti,A payment made for the right to use intellectual property or operate under a permit.,The licence fee was recognised as revenue over the licence period.,"Lisans ücreti, lisans süresi boyunca hasılat olarak muhasebeleştirilmiştir."
J-L,Licensing agreement,Lisans sözleşmesi,A contract granting rights to use intellectual property or technology.,The licensing agreement provides for royalty payments.,Lisans sözleşmesi telif ödemelerini öngörür.
J-L,Life-contingent annuity,Yaşam koşullu yıllık gelir sigortası,An annuity whose payments depend on the survival of the annuitant.,The insurer priced the life-contingent annuity using mortality assumptions.,"Sigortacı, yaşam koşullu yıllık geliri ölüm oranı varsayımlarıyla fiyatlandırdı."
J-L,LIFO,LİFO (son giren ilk çıkar),"Last-in, first-out inventory costing method.",LIFO is not permitted under IFRS.,LİFO yöntemine IFRS kapsamında izin verilmez.
J-L,Like transactions and events in similar circumstances,Benzer işlemler ve benzer koşullardaki diğer olaylar,Comparable transactions treated consistently.,Like transactions in similar circumstances are treated consistently.,Benzer koşullardaki benzer işlemler tutarlı biçimde ele alınır.
J-L,Limited Exemption from Comparative IFRS 7 Disclosures for First-time Adopters,IFRS’leri İlk Kez Uygulayan İşletmelere Yönelik IFRS 7’de Yer Alan Karşılaştırmalı Açıklamalardan Sınırlı Muafiyet,An amendment providing first-time adopters a limited exemption from presenting comparative IFRS 7 disclosures.,The limited exemption from comparative IFRS 7 disclosures for first-time adopters reduces the burden of transition.,"IFRS’leri ilk kez uygulayan işletmelere yönelik karşılaştırmalı IFRS 7 açıklamalarından sınırlı muafiyet, geçiş yükünü azaltır."
J-L,Line item,İlgili kalem,A single line presented in a statement.,Each line item is presented separately.,Her ilgili kalem ayrı olarak sunulur.
J-L,Line of business,İş alanı,Distinct segment or area of commercial activity.,Results are reported by line of business.,Sonuçlar iş alanına göre raporlanır.
J-L,Liquid assets,Hazır değerler/nakit ve nakit benzeri varlıklar,Cash and assets easily convertible into cash.,The company held sufficient liquid assets to meet payments.,Şirket ödemeleri karşılamak için yeterli hazır değer tuttu.
J-L,Liquidity,Likidite,The availability of cash and the ability of an entity to meet its short-term obligations.,The company maintained sufficient liquidity to meet its obligations as they fell due.,"Şirket, vadesi gelen yükümlülüklerini karşılamak için yeterli likiditeyi korumuştur."
J-L,Liquidity presentation,Likidite sunumu,Presentation of assets and liabilities by their nearness to cash.,The bank adopts liquidity presentation in its balance sheet.,"Banka, bilançosunda likidite sunumunu benimser."
J-L,Liquidity risk,Likidite riski,The risk that an entity will struggle to meet its financial obligations.,The entity monitors liquidity risk through maturity analysis.,"İşletme, likidite riskini vade analizi yoluyla izler."
J-L,Litigation settlements,Yasal uzlaşmalar,Amounts agreed to settle legal disputes.,Litigation settlements were recognised as a provision.,"Yasal uzlaşmalar, karşılık olarak muhasebeleştirildi."
J-L,Loan,"Kredi, borç",Funds provided that must be repaid.,The loan is measured at amortised cost.,"Kredi, itfa edilmiş maliyetiyle ölçülür."
J-L,Loan asset,Kredi varlığı,A financial asset arising from the lending of money to a borrower.,The loan asset is measured at amortised cost using the effective interest method.,"Kredi varlığı, etkin faiz yöntemi kullanılarak itfa edilmiş maliyeti üzerinden ölçülür."
J-L,Loan commitment,Kredi taahhüdü,A commitment to provide a loan.,The loan commitment fee is recognised over the commitment period.,"Kredi taahhüt ücreti, taahhüt süresi boyunca muhasebeleştirilir."
J-L,Loan sub-participation,Kredi alt katılımı,Agreement transferring part of a loan's risk and return.,The bank entered a loan sub-participation with another lender.,"Banka, başka bir kreditörle kredi alt katılımı yaptı."
J-L,Loans and advances,Verilen krediler ve avanslar,Amounts lent by a bank to its customers.,Loans and advances to customers grew during the year.,Müşterilere verilen krediler ve avanslar yıl içinde arttı.
J-L,Loans and receivables,Kredi ve alacaklar,Non-derivative financial assets with fixed or determinable payments that are not quoted in an active market.,Trade receivables were classified as loans and receivables under the old standard.,"Ticari alacaklar, eski standart uyarınca kredi ve alacaklar olarak sınıflandırılmıştır."
J-L,Loans and receivables originated by the enterprise,İşletme tarafından sağlanan krediler ve alacaklar,Non-derivative financial assets created by providing money or goods.,Loans and receivables originated by the enterprise are measured at amortized cost.,İşletme tarafından sağlanan krediler ve alacaklar itfa edilmiş maliyetle ölçülür.
J-L,Loans payable,Kredi borçları,Liabilities arising from borrowed funds that must be repaid.,Loans payable are classified as non-current liabilities.,Kredi borçları uzun vadeli borçlar olarak sınıflandırılır.
J-L,Loans payable in default,Temerrüde düşmüş kredi borçları,Loans in breach of their terms and repayable on demand.,Loans payable in default are classified as current liabilities.,"Temerrüde düşmüş kredi borçları, kısa vadeli borç olarak sınıflandırılır."
J-L,Long-term employee benefits,Çalışanlara sağlanan uzun vadeli faydalar,Benefits payable beyond twelve months.,Long-term employee benefits include long-service leave.,"Uzun vadeli çalışan faydaları, uzun hizmet iznini içerir."
J-L,Long-term investment,Uzun vadeli yatırım,"An investment intended to be held for more than one year, not expected to be converted into cash in the short term.",Long-term investments are presented separately from current assets in the statement of financial position.,"Uzun vadeli yatırımlar, finansal durum tablosunda dönen varlıklardan ayrı olarak sunulur."
J-L,Look through,Gözden geçirme,Assessing the substance behind a structure.,A look through approach assesses the underlying assets.,"Gözden geçirme yaklaşımı, altta yatan varlıkları değerlendirir."
J-L,Look through approach,Gözden geçirme yaklaşımı,Basing treatment on underlying substance rather than legal form.,The look through approach is used for financial conglomerates.,"Gözden geçirme yaklaşımı, finansal şirketler topluluğu için kullanılır."
J-L,Loss event,Zarar yaratan olay,An event that causes an actual credit loss.,A loss event was identified on the defaulted loan.,Temerrüt eden kredide zarar yaratan bir olay tespit edildi.
J-L,Loss of control,Kontrol gücünün kaybedilmesi,The event in which a parent no longer has control over a former subsidiary.,The loss of control triggered the derecognition of the subsidiary's assets and liabilities.,"Kontrol gücünün kaybedilmesi, bağlı ortaklığın varlık ve yükümlülüklerinin kayıttan çıkarılmasını tetiklemiştir."
J-L,Loss per share,Hisse başına zarar,The net loss attributable to each ordinary share.,The entity reported a loss per share for the period.,"İşletme, dönem için hisse başına zarar açıkladı."
J-L,Loss recognition test,Zarar saptama testi (sigorta şirketlerince),A test to determine whether an insurance contract is onerous.,A loss recognition test is performed for each insurance portfolio.,Her sigorta portföyü için zarar saptama testi yapılır.
J-L,Loss sharing arrangement,Zarar paylaşımı anlaşmaları,An agreement to share losses between parties.,"Under the loss sharing arrangement, losses are borne proportionately.",Zarar paylaşımı anlaşmasına göre zararlar oransal olarak üstlenilir.
J-L,Losses,Zararlar,Decreases in economic benefits.,Losses are recognised in profit or loss.,"Zararlar, kâr veya zararda muhasebeleştirilir."
J-L,Lower level parent,Daha alt seviyedeki bir ana işletme,A parent entity that is itself a subsidiary of another parent higher up the group structure.,The lower level parent prepares consolidated financial statements for its own group within the wider structure.,"Daha alt seviyedeki ana işletme, daha geniş yapı içindeki kendi grubu için konsolide finansal tablolar hazırlar."
M-N,Majority interest,Çoğunluk payı,Ownership of more than half the voting rights.,Majority interest gives the parent control.,"Çoğunluk payı, ana ortaklığa kontrol verir."
M-N,Managed on a contractual yield basis,Sözleşmeye dayalı getiri bazında yönetilen,Assets managed to achieve returns set by contract.,The portfolio is managed on a contractual yield basis.,"Portföy, sözleşmeye dayalı getiri bazında yönetilmektedir."
M-N,Management,Yönetim,The people responsible for directing and controlling an entity.,Management is responsible for preparing the financial statements.,"Yönetim, finansal tabloların hazırlanmasından sorumludur."
M-N,Management approach,Yönetimin yaklaşımı,An approach that bases segment reporting on the information used internally by management.,"Under the management approach, segments were reported as reviewed by the chief operating decision maker.","Yönetimin yaklaşımı uyarınca bölümler, faaliyet kararlarından sorumlu üst yöneticinin incelediği şekilde raporlanmıştır."
M-N,Management commentary,Yönetimin görüşü,Narrative explanation of financial results accompanying the statements.,The management commentary explains key performance drivers.,"Yönetimin görüşü, temel performans etkenlerini açıklar."
M-N,Management intentions,Yönetim amacı,Management's stated plans for holding or disposing of an asset.,The classification depended on management intentions.,"Sınıflandırma, yönetim amacına bağlıydı."
M-N,Margin,Brüt kâr,The difference between revenue and cost of sales.,The gross margin improved following cost reductions.,Maliyet düşüşlerinin ardından brüt kâr marjı iyileşti.
M-N,Market condition,Piyasa koşulu,A condition related to market prices.,A market condition affects the fair value of a share option.,"Piyasa koşulu, hisse opsiyonunun gerçeğe uygun değerini etkiler."
M-N,Market price,Piyasa fiyatı,The price at which an asset or liability could be bought or sold in an active market.,The market price of the listed shares was used to determine their fair value.,Borsada işlem gören hisselerin gerçeğe uygun değerini belirlemek için piyasa fiyatı kullanıldı.
M-N,Market rate of interest,Piyasa faiz oranı,The prevailing interest rate in the market.,The loan was granted at the market rate of interest.,"Kredi, piyasa faiz oranından verildi."
M-N,Market risk,Piyasa riski,Risk of loss from market price movements.,Market risk arises from commodity price fluctuations.,"Piyasa riski, emtia fiyat dalgalanmalarından doğar."
M-N,Market value,Piyasa değeri,The price at which an asset could be traded in the market.,The market value of the land rose sharply.,Arsanın piyasa değeri keskin biçimde arttı.
M-N,Marketable,Pazarlanabilir,Describes an asset that can be readily bought or sold in a market.,The marketable securities were measured at fair value at the reporting date.,"Pazarlanabilir menkul kıymetler, raporlama tarihinde gerçeğe uygun değerinden ölçülmüştür."
M-N,Marketing-related intangible assets,Pazarlamayla ilişkili maddi olmayan duran varlıklar,"Intangible assets used in marketing, such as trademarks and brand names.",Marketing-related intangible assets include trademarks and internet domains.,"Pazarlamayla ilişkili maddi olmayan duran varlıklar, markalar ve internet alan adlarını içerir."
M-N,Mask works,Entegre devre şablonları,Intellectual property rights protecting semiconductor chip designs.,Mask works are recognised as intangible assets.,Entegre devre şablonları maddi olmayan varlık olarak muhasebeleştirilir.
M-N,Master netting arrangement,Karşılıklı işlemlerin netleştirilmesine imkân veren anlaşma,An agreement allowing offsetting of multiple contracts on default.,A master netting arrangement allows offset on default.,"Netleştirme anlaşması, temerrüt halinde mahsup imkânı verir."
M-N,Matching of costs with revenues,Hasılat – maliyet eşleştirmesi,Recognising expenses with the related revenue.,Matching of costs with revenues recognises expenses in the same period.,"Maliyet-hasılat eşleştirmesi, giderleri aynı dönemde muhasebeleştirir."
M-N,Material,Önemli,"Information is material if omitting, misstating or obscuring it could influence the decisions that users make.",The omission of the disclosure was not material to the users of the financial statements.,"Söz konusu açıklamanın atlanması, finansal tablo kullanıcıları için önemli değildi."
M-N,Material adjustments,Önemli düzeltmeler,Adjustments significant enough to matter.,Material adjustments were made to the prior period figures.,Önceki dönem tutarlarına önemli düzeltmeler yapıldı.
M-N,Material errors,Önemli hatalar,Errors significant enough to affect users' decisions.,Material errors in prior statements were corrected retrospectively.,Önceki tablolardaki önemli hatalar geriye dönük düzeltildi.
M-N,Material omissions,Önemli ihmaller,Failures to include information significant enough to affect decisions.,Material omissions in the notes led to a restatement.,Dipnotlardaki önemli ihmaller bir yeniden düzenlemeye yol açtı.
M-N,Materiality,Önemlilik,The threshold at which information could influence the economic decisions of users of financial statements.,The omission was not considered material to the financial statements as a whole.,"Söz konusu ihmal, finansal tabloların bir bütün olarak değerlendirilmesinde önemli görülmemiştir."
M-N,Matrix approach Matrix presentation,Matris yaklaşım Matris sunumu,Presenting information across two dimensions in a grid format.,The matrix presentation discloses risk by type and by category.,"Matris sunumu, riski türe ve kategoriye göre açıklar."
M-N,Matrix form of organisation,Örgütün matriks şekli,An organisational structure where staff report to more than one manager.,The group operates in a matrix form of organisation.,"Grup, matriks şeklinde bir organizasyonda faaliyet gösterir."
M-N,Maturity,Vade,The date an instrument becomes due for settlement.,The bond's maturity is ten years from issue.,"Tahvilin vadesi, ihraçtan itibaren on yıldır."
M-N,Maturity value,Vade sonu değeri,The amount payable at maturity.,The bond was redeemed at its maturity value.,"Tahvil, vade sonu değeri üzerinden itfa edildi."
M-N,Measured at fair value through other comprehensive income,Gerçeğe uygun değer farkı diğer kapsamlı gelire yansıtılan olarak ölçülen,A measurement category for financial assets whose fair value changes are recognised in other comprehensive income rather than profit or loss.,The debt instrument is measured at fair value through other comprehensive income because it is held within a business model of hold to collect and sell.,"Borçlanma aracı, elde tut ve sat iş modeli kapsamında tutulduğu için gerçeğe uygun değer farkı diğer kapsamlı gelire yansıtılan olarak ölçülür."
M-N,Measurement,Ölçüm,Determining the monetary amount of an item.,Measurement of the provision used the best estimate.,Karşılığın ölçümünde en iyi tahmin kullanıldı.
M-N,Measurement bases,Ölçüm esasları,Methods used to determine amounts in financial statements.,The standard lists several measurement bases.,"Standart, çeşitli ölçüm esasları sıralar."
M-N,Measurement date,Ölçüm tarihi,The date at which an asset or liability is measured.,The measurement date for the plan assets was year end.,Plan varlıkları için ölçüm tarihi yıl sonuydu.
M-N,Measurement of change,Değişikliklerin belirlenmesi,The determination of the amount of change in an item that must be recognised or disclosed.,The measurement of change in the fair value of the liability was recognised in profit or loss.,Yükümlülüğün gerçeğe uygun değerindeki değişikliğin belirlenmesi kâr veya zararda muhasebeleştirilmiştir.
M-N,Measurement or recognition inconsistency,Ölçüm ya da muhasebeleştirme tutarsızlığı,An accounting mismatch between related assets and liabilities.,The derivative was held to remove a measurement or recognition inconsistency.,"Türev, ölçüm ya da muhasebeleştirme tutarsızlığını gidermek için elde tutuldu."
M-N,Measuring interim income tax expense,Ara dönem gelir vergisi giderinin hesaplanması,Calculating income tax for interim periods using the estimated annual effective rate.,Measuring interim income tax expense requires an estimated annual rate.,"Ara dönem gelir vergisi giderinin hesaplanması, tahmini yıllık oran gerektirir."
M-N,Membership fees,Üyelik aidatları,Fees paid to join or remain in an organisation.,Membership fees are recognised as revenue over the membership period.,"Üyelik aidatları, üyelik süresi boyunca hasılat olarak muhasebeleştirilir."
M-N,Members’ shares,Üyelerin hisseleri,Equity held by members of a co-operative.,Members' shares may be classified as equity or liability.,"Üyelerin hisseleri, özkaynak veya borç olarak sınıflandırılabilir."
M-N,Members’ Shares in Co-operative Entities and Similar Instruments,Üyelerin Kooperatif İşletmelerindeki ve Benzeri Finansal Araçlardaki Hisseleri,An interpretation addressing whether members' shares in co-operative entities should be classified as liabilities or equity.,The interpretation on members' shares in co-operative entities determines when such shares are classified as equity.,"Üyelerin kooperatif işletmelerindeki hisselerine ilişkin yorum, bu hisselerin ne zaman özkaynak olarak sınıflandırılacağını belirler."
M-N,Merchandise,Ticari mal,Goods held for resale.,Merchandise is reported within inventory.,"Ticari mallar, stoklar içinde raporlanır."
M-N,Merger,"Şirket birleşmesi, birleşme",Combination of two entities into one.,The merger created the largest bank in the region.,"Birleşme, bölgedeki en büyük bankayı yarattı."
M-N,Method of accounting,Muhasebeleştirme yöntemi,The approach used to recognise and measure transactions.,The company changed its method of accounting for leases.,Şirket kiralamalar için muhasebeleştirme yöntemini değiştirdi.
M-N,Mid-market price,Ortalama piyasa fiyatı,The price midway between the bid price and the asking price of a financial instrument.,The shares were measured using the mid-market price at the reporting date.,"Hisseler, raporlama tarihindeki ortalama piyasa fiyatı kullanılarak ölçülmüştür."
M-N,Minerals and mineral products,Madenler ve madeni ürünler,Extracted natural resources and products derived from them.,Inventory of minerals and mineral products is measured at net realizable value.,Madenler ve madeni ürünler stoku net gerçekleşebilir değerle ölçülür.
M-N,Minimum funding contributions,Tahmini asgari fonlama,Required contributions set by law or regulation to fund a plan.,The entity paid minimum funding contributions to the pension plan.,"İşletme, emeklilik planına asgari fonlama katkılarını ödedi."
