Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
G,Government Grants,staatliche Zuschüsse,Beihilfe des Staates in Form von Transferleistungen.,"Staatliche Zuschüsse werden angesetzt, wenn die Bedingungen erfüllt sind."
G,Government guarantee,Staatsgarantie,"Das Versprechen des Staates, für die Verpflichtungen eines Unternehmens einzustehen.",Das Darlehen war durch eine Staatsgarantie besichert.
G,Government-related entity,Mit dem Staat verbundenes Unternehmen,"Ein Unternehmen, das vom Staat kontrolliert oder maßgeblich von ihm beeinflusst wird.",Das Versorgungsunternehmen ist ein mit dem Staat verbundenes Unternehmen.
G,Grant date,Bewilligungsdatum / Gewährungsdatum,"Das Datum, an dem ein Unternehmen und seine Arbeitnehmer eine gegenseitige Einigung über die Bedingungen einer anteilsbasierten Vergütung erzielen.",Der beizulegende Zeitwert der Optionen wurde zum Bewilligungsdatum bemessen.
G,Grantor,Konzessionsgeber / öffentlicher Auftraggeber,"Die Partei, die einem Betreiber das Recht an einer Dienstleistungskonzession einräumt.",Der Konzessionsgeber behält die Kontrolle über den Infrastrukturvermögenswert.
G,Grants related to assets,Zuschüsse für Vermögenswerte,"Staatliche Zuschüsse, deren Hauptbedingung der Erwerb von langfristigen Vermögenswerten ist.",Zuschüsse für Vermögenswerte werden als abgegrenzter Ertrag angesetzt.
G,Grants related to income,Zuschüsse für Erträge,"Staatliche Zuschüsse, die andere als solche für Vermögenswerte sind.",Zuschüsse für Erträge werden über die jeweiligen Perioden erfolgswirksam erfasst.
G,Gross investment in the lease,Bruttoinvestition in den Leasingvertrag,Die Summe der Leasingzahlungen zuzüglich des nicht garantierten Restwerts.,Die Bruttoinvestition in den Leasingvertrag entspricht den gesamten Leasingzahlungen.
G,Gross margin,Bruttomarge / Rohergebnis / Bruttogewinn,"Die Differenz zwischen Umsatzerlösen und den Kosten des Umsatzes, die den Gewinn vor den Betriebsaufwendungen darstellt.",Die Bruttomarge verbesserte sich aufgrund niedrigerer Rohstoffkosten und höherer Verkaufspreise.
G,Gross profit,Bruttogewinn / Rohergebnis,Umsatzerlöse abzüglich der Kosten des Umsatzes.,Der Bruttogewinn wird vor den Betriebsaufwendungen ausgewiesen.
G,Group,Gruppe / Konzern,Ein Mutterunternehmen zusammen mit allen seinen Tochterunternehmen.,Die Gruppe wies konsolidierte Umsatzerlöse von zehn Millionen aus.
G,Group administration (employee benefit) plans,Gruppenverwaltete Pläne für Arbeitnehmerleistungen,"Leistungspläne, die gemeinsam für eine Gruppe von Unternehmen verwaltet werden.",Die gruppenverwalteten Pläne umfassten das Personal aller Tochterunternehmen.
G,Group and Treasury Share Transactions,Transaktionen innerhalb der Gruppe und mit eigenen Aktien (Treasury Shares),"Leitlinien zu anteilsbasierten Vergütungsvereinbarungen, die Konzernunternehmen und eigene Aktien betreffen.",Nach der Auslegung zu Transaktionen innerhalb der Gruppe und mit eigenen Aktien rechnete die Gruppe die Kosten der anteilsbasierten Vergütung weiter.
G,Group Cash-Settled Share-Based Payment Transactions,In bar abgerechnete anteilsbasierte Vergütungstransaktionen innerhalb der Gruppe,"Anteilsbasierte Vergütungen, die innerhalb einer Unternehmensgruppe in bar abgerechnet werden.",In bar abgerechnete anteilsbasierte Vergütungstransaktionen innerhalb der Gruppe erfordern eine sorgfältige Zurechnung.
G,Group insurance contract,Gruppenversicherungsvertrag / Sammelversicherungsvertrag,"Eine Versicherungspolice, die eine Gruppe von Personen unter einem einzigen Vertrag absichert.",Der Arbeitgeber stellte seinen Mitarbeitern einen Gruppenversicherungsvertrag zur Verfügung.
G,Group of assets,Gruppe von Vermögenswerten / Vermögenswertgruppe,"Eine Zusammenfassung von Vermögenswerten, die gemeinsam auf Wertminderung überprüft wird.",Die Vermögenswertgruppe wurde als Einheit einem Wertminderungstest unterzogen.
G,Group of biological assets,Gruppe biologischer Vermögenswerte,"Ähnliche biologische Vermögenswerte, die zu einer Gruppe zusammengefasst werden.",Eine Gruppe biologischer Vermögenswerte wird zum beizulegenden Zeitwert bewertet.
G,Group of similar financial assets,Gruppe ähnlicher finanzieller Vermögenswerte,"Ein Portfolio finanzieller Vermögenswerte mit ähnlichen Merkmalen des Kreditrisikos, das gemeinsam auf Wertminderung überprüft wird.",Die Wertminderung einer Gruppe ähnlicher finanzieller Vermögenswerte wurde auf kollektiver Basis beurteilt.
G,Grouping of assets,Gruppierung von Vermögenswerten,Die Zusammenfassung von Vermögenswerten zu Beurteilungszwecken.,Die Gruppierung von Vermögenswerten wird für Wertminderungstests verwendet.
G,Guarantee,Garantie / Bürgschaft,"Das Versprechen, für die Verbindlichkeit einer anderen Partei einzustehen.",Das Mutterunternehmen übernahm eine Bürgschaft für die Schulden der Tochtergesellschaft.
G,Guarantee amount,Garantiebetrag / Bürgschaftsbetrag,"Der höchste Betrag, den ein Unternehmen im Rahmen einer Garantie zu zahlen hat.",Der Garantiebetrag wurde im Anhang offengelegt.
G,Guarantee fund,Garantiefonds / Entschädigungsfonds,"Ein Fonds, der Versicherungsnehmer oder Einleger schützen soll, wenn ein Institut zahlungsunfähig wird.",Die Beiträge zum Garantiefonds wurden als Aufwand der Periode erfasst.
G,Guaranteed benefits,Garantierte Leistungen,"Leistungen, die den Arbeitnehmern unabhängig von der Entwicklung der Planvermögen zugesagt werden.",Garantierte Leistungen müssen auf ihren Barwert abgezinst werden.
G,Guaranteed element,Garantierte Komponente / Garantiebestandteil,"Ein Vertragsbestandteil, der eine Mindestverzinsung oder Mindestleistung garantiert.",Die garantierte Komponente wird abgespalten und gesondert bewertet.
G,Guaranteed residual value,Garantierter Restwert,"Ein Restwert, der vom Leasingnehmer oder einem Dritten garantiert wird.",Der garantierte Restwert beeinflusst die Einordnung als Finanzierungsleasing.
G,Guarantor,Garant / Bürge,"Eine Partei, die eine Verbindlichkeit garantiert.","Der Bürge haftet, wenn der Kreditnehmer in Verzug gerät."
H,Harmonise,Harmonisieren / Harmonisierung,Der Prozess der Angleichung nationaler Rechnungslegungsstandards an internationale Standards zur Verringerung der Unterschiede.,Die Aufsichtsbehörde startete ein Projekt zur Harmonisierung der lokalen Rechnungslegungsvorschriften mit den IFRS.
H,Harvest,Ernte / Ernten,Die Trennung der Erzeugnisse vom biologischen Vermögenswert.,"Die Ernte markiert den Zeitpunkt, zu dem landwirtschaftliche Erzeugnisse bewertet werden."
H,Hedge accounting,Hedge Accounting / Absicherungsrechnung,Die Gegenüberstellung von Gewinnen und Verlusten aus grundgesicherten Posten und Sicherungsinstrumenten.,Hedge Accounting verringert die Volatilität des ausgewiesenen Ergebnisses.
H,Hedge effectiveness,Sicherungseffektivität / Effektivität der Sicherung,"Das Ausmaß, in dem ein Sicherungsinstrument das abgesicherte Risiko ausgleicht.",Die Sicherungseffektivität wurde an jedem Berichtsstichtag getestet.
H,Hedged item,Grundgesicherter Posten / abgesichertes Geschäft,"Ein Vermögenswert, eine Schuld, ein festes Engagement, eine erwartete Transaktion oder eine Nettoinvestition, die einem abgesicherten Risiko ausgesetzt ist.",Der geplante Kupferkauf wurde als grundgesicherter Posten designiert.
H,Hedges of a Net Investment in a Foreign Operation,Absicherung einer Nettoinvestition in einen ausländischen Geschäftsbetrieb,Die Absicherung von Umrechnungsrisiken aus einer Nettoinvestition in ausländische Geschäftsbetriebe.,Sicherungen einer Nettoinvestition in einen ausländischen Geschäftsbetrieb werden im Eigenkapital erfasst.
H,Hedging,Absicherung / Hedging,"Die Bezeichnung eines Derivats, um Änderungen des beizulegenden Zeitwerts oder der Cashflows auszugleichen.",Das Unternehmen wandte Hedge Accounting auf seine Zinsswaps an.
H,Hedging instrument,Sicherungsinstrument,"Ein Derivat oder ein anderes Instrument, das zur Kompensierung eines abgesicherten Risikos eingesetzt wird.",Das Termingeschäft wird als Sicherungsinstrument designiert.
H,Hedging relationship,Sicherungsbeziehung,Die Kombination aus einem grundgesicherten Posten und einem Sicherungsinstrument.,Die Sicherungsbeziehung muss formell designiert werden.
H,Hedging reserve,Sicherungsrücklage,"Eine Eigenkapitalkomponente, in der der wirksame Teil der Gewinne und Verluste aus Sicherungsinstrumenten angesammelt wird.",Der wirksame Teil der Cashflow-Sicherung wurde in der Sicherungsrücklage erfasst.
H,Held for resale,Zur Weiterveräußerung gehalten,"Vermögenswerte, die zum Verkauf und nicht zur Nutzung gehalten werden.",Zur Weiterveräußerung gehaltene Vermögenswerte werden als Umlaufvermögen klassifiziert.
H,Held for sale,Zur Veräußerung gehalten,"Ein Vermögenswert, der in seinem gegenwärtigen Zustand sofort verkäuflich ist.",Das Gebäude wurde als zur Veräußerung gehalten klassifiziert.
H,Held for trading,Zu Handelszwecken gehalten,"Finanzielle Vermögenswerte, die überwiegend zur Erzielung kurzfristiger Gewinne aus Preisänderungen erworben werden.",Die Aktien werden als zu Handelszwecken gehalten klassifiziert.
H,Held-to-maturity investment,Bis zur Endfälligkeit gehaltene Investition,"Ein nicht-derivativer finanzieller Vermögenswert mit festen Zahlungen und fester Fälligkeit, den das Unternehmen zu halten beabsichtigt und bis zur Fälligkeit halten kann.",Die Staatsanleihen wurden als bis zur Endfälligkeit gehaltene Investitionen klassifiziert und zu fortgeführten Anschaffungskosten bewertet.
H,Higher level parent entity,Übergeordnetes Mutterunternehmen,"Ein Mutterunternehmen, das das berichtende Unternehmen mittelbar über ein anderes Mutterunternehmen kontrolliert.",Das übergeordnete Mutterunternehmen erstellt einen Konzernabschluss.
H,Highly probable,Hochwahrscheinlich,Wahrscheinlicher als wahrscheinlich; eine erwartete Transaktion wird voraussichtlich stattfinden.,Der geplante Verkauf gilt als hochwahrscheinlich.
H,Hire-purchase contract,Mietkaufvertrag / Leasingvertrag mit Kaufoption,Ein Vertrag über die Miete eines Vermögenswerts mit einer Kaufoption.,Ein Mietkaufvertrag kann im Wesentlichen alle Risiken und Chancen übertragen.
H,Historical cost,Historische Anschaffungskosten / Anschaffungskosten,Bewertung zu den ursprünglichen Transaktionskosten.,Immobilien werden zu historischen Anschaffungskosten abzüglich Abschreibungen bewertet.
H,Historical loss experience,Historische Verlusterfahrung,"Vergangene Daten zu Kreditausfällen, die zur Schätzung erwarteter Kreditverluste aus finanziellen Vermögenswerten verwendet werden.","Die erwarteten Kreditverluste wurden unter Verwendung historischer, an die aktuellen Bedingungen angepasster Verlusterfahrung geschätzt."
H,Historical summaries,Historische Zusammenfassungen (Daten früherer Perioden),Zusammenfassungen von Finanzdaten früherer Perioden.,Historische Zusammenfassungen werden häufig in Geschäftsberichten dargestellt.
H,Historical waste,Altabfälle,"Abfälle, die aus in früheren Perioden verkauften Produkten stammen.",Die Rückstellung deckt Altabfälle aus alten Produkten ab.
H,Holding company,Holdinggesellschaft / Holding,"Eine Gesellschaft, die andere Gesellschaften durch Beteiligungsbesitz kontrolliert.",Die Holdinggesellschaft besitzt drei operative Tochtergesellschaften.
H,Host contract,Grundvertrag (Wirtsvertrag),"Der nicht-derivative Vertrag, der ein eingebettetes Derivat enthält.",Das eingebettete Derivat wurde von seinem Grundvertrag abgespalten und zum beizulegenden Zeitwert bewertet.
H,Host instrument,Grundinstrument (Wirtsinstrument),"Der nicht-derivative Vertrag, in dem ein eingebettetes Derivat enthalten ist.",Das Grundinstrument ist ein Schuldvertrag mit einem eingebetteten Derivat.
H,Hybrid contract,Hybrider Vertrag / gemischter Vertrag,"Ein Vertrag, der einen nicht-derivativen Grundvertrag und ein eingebettetes Derivat enthält.",Das eingebettete Derivat im hybriden Vertrag wurde abgespalten.
H,Hybrid instrument,Hybridinstrument / hybrides Instrument,"Ein Instrument, das sowohl einen Grundvertrag als auch ein Derivat enthält.",Das eingebettete Derivat des Hybridinstruments wurde gesondert bewertet.
H,Hyperinflation,Hyperinflation,Eine sehr hohe und anhaltende Inflation.,Hyperinflation erfordert die Anpassung des Jahresabschlusses.
H,Hyperinflationary economies,Hyperinflatorische Volkswirtschaften,"Volkswirtschaften mit so hohen kumulativen Inflationsraten, dass die Abschlüsse in der zum Berichtsstichtag gültigen Rechnungseinheit angepasst werden müssen.",Die Abschlüsse von Unternehmen in hyperinflatorischen Volkswirtschaften müssen an Kaufkraftänderungen angepasst werden.
I,discontinuing operation),Erste öffentliche Bekanntgabe,Die erste öffentliche Bekanntgabe in Bezug auf eine aufgegebene Geschäftstätigkeit.,Das Unternehmen machte seine erste öffentliche Bekanntgabe zur aufgegebenen Geschäftstätigkeit.
I,IAS,IAS (International Accounting Standard),"International Accounting Standard, herausgegeben vom IASB.",IAS 2 regelt die Bilanzierung von Vorräten.
I,"IAS 19- The Limit on a Defined Benefit Asset, Minimum Funding Requirements and Their Interaction","IAS 19 - Begrenzung eines leistungsorientierten Vermögenswerts, Mindestfinanzierungsanforderungen und deren Wechselwirkung",Auslegung zur Begrenzung eines leistungsorientierten Vermögenswerts und zu Mindestfinanzierungsanforderungen.,Das Unternehmen wandte die Auslegung zur Begrenzung eines leistungsorientierten Vermögenswerts an.
I,IASC,Internationales Rechnungslegungsstandards-Komitee (IASC),"Der Vorgänger des IASB, der die ursprünglichen International Accounting Standards herausgab.","Das IASC gab die Standards heraus, die später als IFRS bekannt wurden."
I,IASC Foundation Constitution,Satzung der IASC Foundation (IASC-Stiftung),"Das Gründungsdokument, das Ziele und Struktur der IASC Foundation regelt.",Die Satzung der IASC Foundation legt die Verantwortlichkeiten der Treuhänder fest.
I,IASCF,"IASCF (IASC Foundation, Stiftung des IASC)","Die Stiftung, die das IASB und die IFRS-Standardsetzung beaufsichtigt.",Die IASCF wurde umstrukturiert und später in IFRS Foundation umbenannt.
I,Identifiability,Identifizierbarkeit,Die Abtrennbarkeit oder das Entstehen aus gesetzlichen oder vertraglichen Rechten.,Für den Ansatz eines immateriellen Vermögenswerts ist Identifizierbarkeit erforderlich.
I,Identifiable,Identifizierbar,Einzeln identifizierbar (abtrennbar).,Ein identifizierbarer Vermögenswert kann abgesondert werden oder entsteht aus Rechten.
I,Identifiable asset,Identifizierbarer Vermögenswert,"Ein Vermögenswert, der vom Unternehmen abgesondert werden kann oder aus vertraglichen oder gesetzlichen Rechten entsteht und in einem Unternehmenszusammenschluss gesondert bewertet wird.",In einem Unternehmenszusammenschluss werden nur die erworbenen identifizierbaren Vermögenswerte getrennt vom Firmenwert angesetzt.
I,IFAC,Internationaler Verband der Wirtschaftsprüfer (IFAC),Die International Federation of Accountants.,Die IFAC entwickelt internationale Standards für Buchhalter und Wirtschaftsprüfer.
I,IFRIC,IFRIC (IFRS Interpretations Committee),"Ein Ausschuss, der Auslegungen zu IFRS-Standards herausgibt.",Das IFRIC gab eine Auslegung zu Dienstleistungskonzessionen heraus.
I,IFRS,IFRS (International Financial Reporting Standards),"International Financial Reporting Standards, herausgegeben vom IASB.",Die Gruppe erstellt ihre Abschlüsse nach IFRS.
I,IFRS 2- Group and Treasury Share transactions,IFRS 2 - Transaktionen innerhalb der Gruppe und mit eigenen Aktien,"Der Teil von IFRS 2, der anteilsbasierte Vergütungstransaktionen innerhalb einer Gruppe und mit eigenen Aktien regelt.",Die IFRS-2-Anforderungen zu Transaktionen innerhalb der Gruppe und mit eigenen Aktien regelten die Weiterbelastung zwischen dem Mutterunternehmen und seiner Tochtergesellschaft.
I,IFRS-compliant,IFRS-konform,In Übereinstimmung mit den International Financial Reporting Standards aufgestellt.,Die Abschlüsse sind in allen wesentlichen Belangen IFRS-konform.
I,Illustrative example,Anwendungsbeispiel / erläuterndes Beispiel,"Ein unverbindliches Beispiel, das zeigt, wie ein Standard angewendet werden kann.",Das Anwendungsbeispiel klärte die Angabeanforderung.
I,Impairment,Wertminderung,Ein Rückgang des erzielbaren Betrags eines Vermögenswerts unter den Buchwert.,Für die Ausrüstung wurde ein Wertminderungsaufwand erfasst.
I,Impairment loss,Wertminderungsaufwand,"Der Betrag, um den der Buchwert den erzielbaren Betrag übersteigt.",Der Wertminderungsaufwand wurde erfolgswirksam in der Gewinn- und Verlustrechnung erfasst.
I,Impairment of assets,Wertminderung von Vermögenswerten,"Eine Minderung des erzielbaren Betrags eines Vermögenswerts unter seinen Buchwert, die eine außerplanmäßige Abschreibung erfordert.","Ein Wertminderungsaufwand wurde erfasst, weil der Buchwert des Vermögenswerts dessen erzielbaren Betrag überstieg."
I,Impairment test,Wertminderungstest,"Die Prüfung, ob der Wert eines Vermögenswerts gemindert ist.",Der Wertminderungstest verglich den erzielbaren Betrag mit dem Buchwert.
I,Implementation guidance,Umsetzungsleitfaden / Anwendungsleitfaden,"Unverbindliche Leitlinien, die Unternehmen bei der Anwendung eines Standards unterstützen.","Der Umsetzungsleitfaden erläutert, wie der Standard anzuwenden ist."
I,Import duties,Einfuhrzölle / Einfuhrabgaben,Abgaben auf in ein Land eingeführte Waren.,Die Einfuhrzölle erhöhten die Kosten der Ausrüstung.
I,Impracticability exemption,Unanwendbarkeitsausnahme,"Eine Erleichterung von einer Anforderung, wenn ein Unternehmen diese trotz aller zumutbaren Bemühungen nicht erfüllen kann.",Das Unternehmen nahm die Unanwendbarkeitsausnahme in Anspruch und passte die Vorperiode nicht an.
I,Impracticable,Unanwendbar / praktisch nicht durchführbar,Eine Anforderung ist trotz aller zumutbaren Bemühungen nicht erfüllbar.,Die rückwirkende Anwendung war wegen fehlender Unterlagen nicht durchführbar.
I,Improvements to IFRSs,Verbesserungen der IFRS,"Periodische Änderungen, die IFRS-Standards klarstellen oder korrigieren.",Die Verbesserungen der IFRS wurden als ein einziges Sammeldokument veröffentlicht.
I,Imputed rate of interest,Unterstellter Zinssatz / kalkulatorischer Zinssatz,"Der Zinssatz, mit dem ein Geschäftsvorfall auf seinen beizulegenden Zeitwert abgezinst wird.","Der unterstellte Zinssatz wurde verwendet, um den gestundeten Kaufpreis zu bewerten."
I,In the money,Im Geld (in the money),"Eine Option, deren Ausübungspreis günstig ist.","Die Option ist im Geld, wenn der Aktienkurs über dem Ausübungspreis liegt."
I,In-substance defeasance,Faktische Schuldbefreiung (in-substance defeasance),"Ein Geschäft, bei dem ein Unternehmen Vermögenswerte in einen unwiderruflichen Treuhandfonds einbringt, um eine Schuld zu bedienen, ohne dass die Verbindlichkeit rechtlich erlischt.",Bei der faktischen Schuldbefreiung erlischt die Verbindlichkeit rechtlich nicht und verbleibt daher in der Bilanz.
I,Incentives,Anreize,"Vorteile, die ein bestimmtes Verhalten fördern.",Verkaufsanreize werden als Minderung der Umsatzerlöse erfasst.
I,Inception of the lease,Vertragsbeginn des Leasingvertrags / Leasingbeginn,"Das Datum, an dem der Leasingvertrag beginnt.",Der Leasingvertrag wurde zum Vertragsbeginn klassifiziert.
I,Incidental income,Nebeneinnahmen / nebensächliche Erträge,Geringfügige Erträge aus Transaktionen außerhalb des eigentlichen Geschäftszwecks.,Die Nebeneinnahmen aus Schrottverkäufen waren unwesentlich.
I,Incidental operations,Nebentätigkeiten / nebensächliche Vorgänge,"Tätigkeiten, die während der Entwicklung eines Vermögenswerts ausgeübt werden und für dessen Herstellung nicht erforderlich sind.",Erträge aus Nebentätigkeiten wurden von den Kosten des im Bau befindlichen Vermögenswerts abgezogen.
I,Income,Ertrag / Erträge,"Zunahmen des wirtschaftlichen Nutzens, die das Eigenkapital erhöhen, mit Ausnahme von Einlagen.","Erträge werden erfasst, wenn die Leistungsversprechen erfüllt sind."
I,Income approach,Einkommensansatz / Ertragswertansatz,"Eine Bewertungstechnik, die zukünftige Größen in einen einzigen Barwert umrechnet.",Zur Bewertung des beizulegenden Zeitwerts wurde der Einkommensansatz verwendet.
I,Income statement = Statement of income,Gewinn- und Verlustrechnung (GuV),"Der Abschluss, der die Erträge und Aufwendungen eines Unternehmens darstellt.",Umsatzerlöse und Aufwendungen werden in der Gewinn- und Verlustrechnung dargestellt.
I,Income statement liability method,GuV-orientierte Schuldenmethode,"Eine Methode, bei der latente Steuern über die Gewinn- und Verlustrechnung erfasst werden.",Die GuV-orientierte Schuldenmethode konzentriert sich auf die Gewinn- und Verlustrechnung.
I,Income Tax,Einkommensteuer / Ertragsteuer,"Der Standard, der die Bilanzierung von Ertragsteuern einschließlich laufender und latenter Steuern regelt.","Der Ertragsteuerstandard verlangt von Unternehmen, die laufenden und künftigen Steuerfolgen von Geschäftsvorfällen zu bilanzieren."
I,Income tax expense,Ertragsteueraufwand,Der gesamte Steueraufwand einer Periode.,Der Ertragsteueraufwand umfasst laufende und latente Steuern.
I,Income Taxes,Ertragsteuern (IAS 12),"Der IAS 12, der die Bilanzierung von Ertragsteuern regelt.",IAS 12 Ertragsteuern behandelt die latenten Steuern.
I,Income Taxes – Changes in the Tax Status of an Enterprise or Its Shareholders,Ertragsteuern - Änderungen des Steuerstatus eines Unternehmens oder seiner Aktionäre,"Leitlinien zur Bilanzierung, wenn sich der Steuerstatus eines Unternehmens oder seiner Aktionäre ändert.",Die Auslegung behandelt Änderungen des Steuerstatus eines Unternehmens.
I,Income Taxes – Recovery of Revalued Non- Depreciable Assets,"Ertragsteuern - Wiedererlangung neubewerteter, nicht abschreibbarer Vermögenswerte","Leitlinien zu latenten Steuern, wenn ein nicht abschreibbarer Vermögenswert neubewertet und durch Verkauf realisiert wird.",Nach der Auslegung zu Ertragsteuern wurde die latente Steuer auf das neubewertete Grundstück unter Verwendung des Veräußerungssteuersatzes bemessen.
I,Increasing rate preference shares,Vorzugsaktien mit steigendem Dividendensatz,"Vorzugsaktien, deren Dividendensatz im Zeitverlauf steigt.",Vorzugsaktien mit steigendem Dividendensatz werden als finanzielle Verbindlichkeit eingestuft.
I,Incremental borrowing rate of interest (lessee’s),Marginaler Fremdkapitalzinssatz des Leasingnehmers,"Der Zinssatz, zu dem der Leasingnehmer Mittel zu vergleichbaren Bedingungen aufnehmen müsste.","Der Leasingnehmer verwendete seinen marginalen Fremdkapitalzinssatz, um die Leasingzahlungen abzuzinsen."
I,Incremental costs,Zusätzliche (inkrementelle) Kosten,"Kosten, die ohne das Geschäft nicht entstanden wären.","Zusätzliche Kosten, die dem Vertrag direkt zurechenbar sind, werden aktiviert."
I,Incremental share,Zusätzliche Aktien (inkrementelle Aktien),"Zusätzliche Aktien, deren Ausgabe unterstellt wird.",Zusätzliche Aktien werden bei der verwässerten Gewinnermittlung je Aktie berücksichtigt.
I,Indemnification assets,Entschädigungsansprüche,"Vermögenswerte, die ein Erwerber ansetzt, um eine vom Verkäufer erhaltene Entschädigungszusage für den Ausgang einer Ungewissheit widerzuspiegeln.","Der Erwerber erfasste einen Entschädigungsanspruch für die Zusage des Verkäufers, eine bedingte Verbindlichkeit zu erstatten."
I,Indication of an impairment,Hinweis auf eine Wertminderung / Wertminderungsindikator,"Ein Anzeichen dafür, dass ein Vermögenswert wertgemindert sein könnte.",Ein Rückgang des Marktwerts ist ein Hinweis auf eine Wertminderung.
I,Indicator [of impairment],Wertminderungsindikator / Hinweis auf Wertminderung,"Ein Zeichen, das darauf hindeutet, dass ein Vermögenswert wertgemindert sein könnte.",Ein fallender Marktpreis ist ein Indikator für eine Wertminderung.
I,Indirect method of reporting cash flows from operating activities,Indirekte Methode zur Darstellung der Cashflows aus der Geschäftstätigkeit,Darstellung der operativen Cashflows durch Anpassung des Ergebnisses um nicht zahlungswirksame Posten.,Die indirekte Methode beginnt mit dem Nettoergebnis und nimmt Anpassungen für nicht zahlungswirksame Posten vor.
I,Individual asset,Einzelner Vermögenswert / einzeln betrachteter Vermögenswert,"Ein einzelner Vermögenswert, der für sich allein und nicht als Teil einer Gruppe bewertet wird.","Die Wertminderung wird für jeden einzelnen Vermögenswert geprüft, sofern dieser nicht eigenständig Zahlungsströme erzeugt."
I,Individual financial statements,Einzelabschluss,"Abschlüsse, die ein Mutterunternehmen ohne Konsolidierung seiner Tochterunternehmen aufstellt.",Im Einzelabschluss werden Beteiligungen zu Anschaffungskosten oder zum beizulegenden Zeitwert ausgewiesen.
I,Induced conversion,Veranlasste (induzierte) Wandlung,"Eine Wandlung wandelbarer Schuld, die durch eine zusätzliche Gegenleistung gefördert wird.","Der Emittent bot einen Anreiz, um eine vorzeitige Wandlung zu fördern."
I,Industry segments,Branchensegmente / Geschäftssegmente,Abgrenzbare Teile eines Unternehmens anhand von Produkten oder Dienstleistungen.,Das Unternehmen berichtete seine Ergebnisse nach Branchensegmenten.
I,Inflation,Inflation,Ein allgemeiner Anstieg des Preisniveaus.,Die Inflation verringert die Kaufkraft des Geldes.
I,Information Reflecting the Effects of Changing Prices,Informationen über die Auswirkungen sich ändernder Preise,"Ergänzende Informationen, die die Auswirkungen sich ändernder Preise auf die Vermögens-, Finanz- und Ertragslage eines Unternehmens widerspiegeln.",In hyperinflatorischen Volkswirtschaften stellen Unternehmen Informationen über die Auswirkungen sich ändernder Preise bereit.
I,Initial classification,Erstklassifizierung / ursprüngliche Klassifizierung,Die Klassifizierung beim erstmaligen Ansatz.,Die Erstklassifizierung bestimmt die Folgebewertung.
I,Initial direct costs,Ursprüngliche direkte Kosten,"Kosten, die direkt auf die Verhandlung und Vermittlung eines Leasingvertrags entfallen.",Ursprüngliche direkte Kosten werden dem Vermögenswert aus Nutzungsrechten hinzugerechnet.
I,Initial disclosure event (for a,Erstmaliges Offenlegungsereignis (bei einer aufgegebenen Geschäftstätigkeit),"Das erste Ereignis, das eine Offenlegung zu aufgegebenen Geschäftstätigkeiten auslöst.","Das erstmalige Offenlegungsereignis trat ein, als die Veräußerung genehmigt wurde."
I,Initial measurement,Erstbewertung / erstmalige Bewertung,"Der Betrag, mit dem ein Vermögenswert oder eine Schuld erstmals im Abschluss angesetzt wird.",Die Erstbewertung des Vermögenswerts war sein beizulegender Zeitwert zuzüglich Transaktionskosten.
I,Initial public offering,Börsengang (IPO) / erstmaliges öffentliches Aktienangebot,Der erste Verkauf der Aktien einer Gesellschaft an die Öffentlichkeit.,Der Börsengang brachte erhebliches neues Kapital ein.
I,Initial recognition,Erstansatz / erstmaliger Ansatz,Die erstmalige Erfassung eines Postens im Abschluss.,Vermögenswerte werden beim erstmaligen Ansatz zu Anschaffungskosten bewertet.
I,Instrument-by-instrument approach,Instrumentbezogener Ansatz (Einzelinstrumentbetrachtung),Die Bewertung einzelner Instrumente zur Bestimmung der Klassifizierung.,Die Klassifizierung wurde für jedes einzelne Instrument beurteilt.
I,Insurable interest,Versicherbares Interesse (Versicherungsinteresse),Ein finanzielles Interesse am Gegenstand der Versicherung.,Für einen gültigen Versicherungsvertrag ist ein versicherbares Interesse erforderlich.
I,Insurance agency commissions,Versicherungsvermittlerprovisionen,"Gebühren, die ein Versicherungsvermittler für die Vermittlung von Versicherungsverträgen an Versicherer erhält.","Versicherungsvermittlerprovisionen werden als Umsatzerlöse erfasst, wenn der zugehörige Versicherungsvertrag vermittelt wird."
I,Insurance assets,Versicherungsansprüche,"Vermögenswerte, die aus Versicherungsverträgen entstehen.",Versicherungsansprüche werden nach dem Versicherungsstandard bewertet.
I,Insurance company,Versicherungsunternehmen / Versicherungsgesellschaft,"Ein Unternehmen, das Versicherungsverträge mit Versicherungsnehmern abschließt.",Das Versicherungsunternehmen wies ein starkes versicherungstechnisches Ergebnis aus.
I,Insurance contract,Versicherungsvertrag,"Ein Vertrag, bei dem eine Partei ein erhebliches Versicherungsrisiko übernimmt.",Der Versicherungsvertrag verlagerte das Risiko vom Versicherungsnehmer auf den Versicherer.
I,Insurance contracts,Versicherungsverträge,"Verträge, bei denen der Versicherer ein erhebliches Versicherungsrisiko vom Versicherungsnehmer übernimmt.",Der Versicherer wandte den Standard zu Versicherungsverträgen auf alle Bestandspolicen an.
I,Insurance enterprise,Versicherungsunternehmen,"Ein Unternehmen, das Versicherungsrisiken übernimmt und steuert.",Das Versicherungsunternehmen wendet bestimmte Angabeanforderungen an.
